<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20130707,54768.6,54289.7,Overall Index,7/6/2013
????_??6,20130708,54616,54768.6,Overall Index,7/7/2013
????_??6,20130709,54534.2,54616,Overall Index,7/8/2013
????_??6,20130710,55069.7,54534.2,Overall Index,7/9/2013
????_??6,20130713,54744,55069.7,Overall Index,7/10/2013
????_??6,20130714,54298.7,54744,Overall Index,7/13/2013
????_??6,20130715,54509.3,54298.7,Overall Index,7/14/2013
????_??6,20130716,54235.9,54509.3,Overall Index,7/15/2013
????_??6,20130717,54433.6,54235.9,Overall Index,7/16/2013
????_??6,20130720,54872.3,54433.6,Overall Index,7/17/2013
????_??6,20130721,55101,54872.3,Overall Index,7/20/2013
????_??6,20130722,55329.3,55101,Overall Index,7/21/2013
????_??6,20130723,55942.4,55329.3,Overall Index,7/22/2013
????_??6,20130724,56426.3,55942.4,Overall Index,7/23/2013
????_??6,20130727,56290.3,56426.3,Overall Index,7/24/2013
????_??6,20130728,56551.9,56290.3,Overall Index,7/27/2013
????_??6,20130729,56400.2,56551.9,Overall Index,7/28/2013
????_??6,20130731,57168.2,56400.2,Overall Index,7/29/2013
????_??6,20130803,57397.2,57168.2,Overall Index,7/31/2013
????_??6,20130804,57264.4,57397.2,Overall Index,8/3/2013
????_??6,20130805,57415.9,57264.4,Overall Index,8/4/2013
????_??6,20130806,57674.8,57415.9,Overall Index,8/5/2013
????_??6,20130807,58142.6,57674.8,Overall Index,8/6/2013
????_??6,20130811,58889.9,58142.6,Overall Index,8/7/2013
????_??6,20130812,59608.5,58889.9,Overall Index,8/11/2013
????_??6,20130813,59754.8,59608.5,Overall Index,8/12/2013
????_??6,20130814,59610.2,59754.8,Overall Index,8/13/2013
????_??6,20130817,60410.3,59610.2,Overall Index,8/14/2013
????_??6,20130818,59938.6,60410.3,Overall Index,8/17/2013
????_??6,20130819,60052.2,59938.6,Overall Index,8/18/2013
????_??6,20130820,59568,60052.2,Overall Index,8/19/2013
????_??6,20130821,59281.6,59568,Overall Index,8/20/2013
????_??6,20130824,59552.8,59281.6,Overall Index,8/21/2013
????_??6,20130825,61163.5,59552.8,Overall Index,8/24/2013
????_??6,20130826,60675.7,61163.5,Overall Index,8/25/2013
????_??6,20130827,60002.4,60675.7,Overall Index,8/26/2013
????_??6,20130828,58727.3,60002.4,Overall Index,8/27/2013
????_??6,20130831,58561,58727.3,Overall Index,8/28/2013
????_??6,20130901,59057,58561,Overall Index,8/31/2013
????_??6,20130903,58962.9,59057,Overall Index,9/1/2013
????_??6,20130904,58146.1,58962.9,Overall Index,9/3/2013
????_??6,20130907,57491.6,58146.1,Overall Index,9/4/2013
????_??6,20130908,57198.1,57491.6,Overall Index,9/7/2013
????_??6,20130909,57035.4,57198.1,Overall Index,9/8/2013
????_??6,20130910,58190.4,57035.4,Overall Index,9/9/2013
????_??6,20130911,59164.6,58190.4,Overall Index,9/10/2013
????_??6,20130914,59117.4,59164.6,Overall Index,9/11/2013
????_??6,20130915,59401.5,59117.4,Overall Index,9/14/2013
????_??6,20130916,59347.7,59401.5,Overall Index,9/15/2013
????_??6,20130917,60056.4,59347.7,Overall Index,9/16/2013
????_??6,20130918,60964.1,60056.4,Overall Index,9/17/2013
????_??6,20130921,62053.2,60964.1,Overall Index,9/18/2013
????_??6,20130922,61707.2,62053.2,Overall Index,9/21/2013
????_??6,20130923,62904.8,61707.2,Overall Index,9/22/2013
????_??6,20130924,63010.2,62904.8,Overall Index,9/23/2013
????_??6,20130925,63455.3,63010.2,Overall Index,9/24/2013
????_??6,20130928,64695.4,63455.3,Overall Index,9/25/2013
????_??6,20130929,65328.8,64695.4,Overall Index,9/28/2013
????_??6,20130930,65720,65328.8,Overall Index,9/29/2013
????_??6,20131001,66350,65720,Overall Index,9/30/2013
????_??6,20131002,66506.3,66350,Overall Index,10/1/2013
????_??6,20131005,66662.5,66506.3,Overall Index,10/2/2013
????_??6,20131006,66997.7,66662.5,Overall Index,10/5/2013
????_??6,20131007,67019,66997.7,Overall Index,10/6/2013
????_??6,20131008,67505.3,67019,Overall Index,10/7/2013
????_??6,20131009,68461.5,67505.3,Overall Index,10/8/2013
????_??6,20131012,69703.5,68461.5,Overall Index,10/9/2013
????_??6,20131013,70951.5,69703.5,Overall Index,10/12/2013
????_??6,20131014,71471.8,70951.5,Overall Index,10/13/2013
????_??6,20131015,72766.5,71471.8,Overall Index,10/14/2013
????_??6,20131019,74400.2,72766.5,Overall Index,10/15/2013
????_??6,20131020,73335.6,74400.2,Overall Index,10/19/2013
????_??6,20131021,73636.1,73335.6,Overall Index,10/20/2013
????_??6,20131022,72997.7,73636.1,Overall Index,10/21/2013
????_??6,20131023,73030.7,72997.7,Overall Index,10/22/2013
????_??6,20131026,73549.8,73030.7,Overall Index,10/23/2013
????_??6,20131027,72201,73549.8,Overall Index,10/26/2013
????_??6,20131028,72215,72201,Overall Index,10/27/2013
????_??6,20131029,73167.4,72215,Overall Index,10/28/2013
????_??6,20131030,73553.2,73167.4,Overall Index,10/29/2013
????_??6,20131102,73504.8,73553.2,Overall Index,10/30/2013
????_??6,20131103,73766.2,73504.8,Overall Index,11/2/2013
????_??6,20131104,73733.6,73766.2,Overall Index,11/3/2013
????_??6,20131105,74438.1,73733.6,Overall Index,11/4/2013
????_??6,20131106,75868.9,74438.1,Overall Index,11/5/2013
